형태소,품사,분류,카운트,상대빈도,시각화용,,,
Calm,Alpha,교촌 전,1,,Calm ,,,
Campanella,Alpha,교촌 전,1,,Campanella ,,,
CarTube,Alpha,교촌 전,1,,CarTube ,,,
Carry,Alpha,교촌 전,1,,Carry ,,,
Cha,Alpha,교촌 전,1,,Cha ,,,
Chals,Alpha,교촌 전,1,,Chals ,,,
Chan,Alpha,교촌 전,1,,Chan ,,,
Chang,Alpha,교촌 전,1,,Chang ,,,
Chen,Alpha,교촌 전,1,,Chen ,,,
Cheon,Alpha,교촌 전,1,,Cheon ,,,
Cheongkang,Alpha,교촌 전,1,,Cheongkang ,,,
Chicken,Alpha,교촌 전,1,,Chicken ,,,
Chicken,Alpha,교촌 전,1,,Chicken ,,,
Chicken,Alpha,교촌 전,2,,Chicken Chicken ,,,
Chicken,Alpha,교촌 전,1,,Chicken ,,,
Chicken,Alpha,교촌 전,1,,Chicken ,,,
Chloe,Alpha,교촌 전,1,,Chloe ,,,
Cho,Alpha,교촌 전,1,,Cho ,,,
Cho,Alpha,교촌 전,1,,Cho ,,,
Choi,Alpha,교촌 전,1,,Choi ,,,
Choi,Alpha,교촌 전,1,,Choi ,,,
Choi,Alpha,교촌 전,1,,Choi ,,,
Chosunbiz,Alpha,교촌 전,1,,Chosunbiz ,,,
Chul,Alpha,교촌 전,1,,Chul ,,,
Chung,Alpha,교촌 전,1,,Chung ,,,
City,Alpha,교촌 전,1,,City ,,,
Classy,Alpha,교촌 전,1,,Classy ,,,
Clay,Alpha,교촌 전,1,,Clay ,,,
Clay,Alpha,교촌 전,1,,Clay ,,,
Cleanup,Alpha,교촌 전,1,,Cleanup ,,,
Combo,Alpha,교촌 전,2,,Combo Combo ,,,
Comments,Alpha,교촌 전,1,,Comments ,,,
Comments,Alpha,교촌 전,1,,Comments ,,,
Comments,Alpha,교촌 전,1,,Comments ,,,
Cook,Alpha,교촌 전,1,,Cook ,,,
Cooking,Alpha,교촌 전,1,,Cooking ,,,
Cooking,Alpha,교촌 전,2,,Cooking Cooking ,,,
Cooking,Alpha,교촌 전,2,,Cooking Cooking ,,,
Cuisine,Alpha,교촌 전,14,,Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine ,,,
D,Alpha,교촌 전,1,,D ,,,
D,Alpha,교촌 전,1,,D ,,,
DH,Alpha,교촌 전,1,,DH ,,,
DJ,Alpha,교촌 전,1,,DJ ,,,
DJ,Alpha,교촌 전,1,,DJ ,,,
DJ,Alpha,교촌 전,1,,DJ ,,,
DMC,Alpha,교촌 전,1,,DMC ,,,
DOCTOR,Alpha,교촌 전,1,,DOCTOR ,,,
DODO,Alpha,교촌 전,1,,DODO ,,,
DONGDONG,Alpha,교촌 전,1,,DONGDONG ,,,
DUKE,Alpha,교촌 전,1,,DUKE ,,,
DULOLL,Alpha,교촌 전,1,,DULOLL ,,,
DY,Alpha,교촌 전,1,,DY ,,,
Dad,Alpha,교촌 전,1,,Dad ,,,
Dae,Alpha,교촌 전,1,,Dae ,,,
Dagam,Alpha,교촌 전,1,,Dagam ,,,
Dance,Alpha,교촌 전,1,,Dance ,,,
David,Alpha,교촌 전,1,,David ,,,
David,Alpha,교촌 전,1,,David ,,,
Day,Alpha,교촌 전,1,,Day ,,,
Day,Alpha,교촌 전,1,,Day ,,,
Dc,Alpha,교촌 전,2,,Dc Dc ,,,
Delicious,Alpha,교촌 전,2,,Delicious Delicious ,,,
Delphi,Alpha,교촌 전,1,,Delphi ,,,
Dkdb,Alpha,교촌 전,1,,Dkdb ,,,
Do,Alpha,교촌 전,1,,Do ,,,
Do,Alpha,교촌 전,1,,Do ,,,
Documentary,Alpha,교촌 전,1,,Documentary ,,,
Doh,Alpha,교촌 전,1,,Doh ,,,
Don,Alpha,교촌 전,1,,Don ,,,
Dong,Alpha,교촌 전,1,,Dong ,,,
