형태소,품사,분류,카운트,상대빈도,시각화용,,,
Burr,Alpha,교촌 전,1,0.00143%,Burr ,,,
BursT,Alpha,교촌 전,1,0.00143%,BursT ,,,
C,Alpha,교촌 전,1,0.00143%,C ,,,
C,Alpha,교촌 전,1,0.00143%,C ,,,
C,Alpha,교촌 전,1,0.00143%,C ,,,
C,Alpha,교촌 전,1,0.00143%,C ,,,
C,Alpha,교촌 전,1,0.00143%,C ,,,
C,Alpha,교촌 전,1,0.00143%,C ,,,
CCTV,Alpha,교촌 전,1,0.00143%,CCTV ,,,
CCTV,Alpha,교촌 전,1,0.00143%,CCTV ,,,
CEO,Alpha,교촌 전,2,0.00143%,CEO CEO ,,,
CEO,Alpha,교촌 전,1,0.00143%,CEO ,,,
CF,Alpha,교촌 전,1,0.00143%,CF ,,,
CF,Alpha,교촌 전,1,0.00143%,CF ,,,
CHICKEN,Alpha,교촌 전,1,0.00143%,CHICKEN ,,,
CHICKEN,Alpha,교촌 전,1,0.00143%,CHICKEN ,,,
CHICKEN,Alpha,교촌 전,1,0.00143%,CHICKEN ,,,
CHOI,Alpha,교촌 전,1,0.00143%,CHOI ,,,
CHUL,Alpha,교촌 전,1,0.00143%,CHUL ,,,
Calm,Alpha,교촌 전,1,0.00143%,Calm ,,,
Campanella,Alpha,교촌 전,1,0.00143%,Campanella ,,,
CarTube,Alpha,교촌 전,1,0.00143%,CarTube ,,,
Carry,Alpha,교촌 전,1,0.00143%,Carry ,,,
Cha,Alpha,교촌 전,1,0.00143%,Cha ,,,
Chals,Alpha,교촌 전,1,0.00143%,Chals ,,,
Chan,Alpha,교촌 전,1,0.00143%,Chan ,,,
Chang,Alpha,교촌 전,1,0.00143%,Chang ,,,
Chen,Alpha,교촌 전,1,0.00143%,Chen ,,,
Cheon,Alpha,교촌 전,1,0.00143%,Cheon ,,,
Cheongkang,Alpha,교촌 전,1,0.00143%,Cheongkang ,,,
Chicken,Alpha,교촌 전,1,0.00143%,Chicken ,,,
Chicken,Alpha,교촌 전,1,0.00143%,Chicken ,,,
Chicken,Alpha,교촌 전,2,0.00143%,Chicken Chicken ,,,
Chicken,Alpha,교촌 전,1,0.00143%,Chicken ,,,
Chicken,Alpha,교촌 전,1,0.00143%,Chicken ,,,
Chloe,Alpha,교촌 전,1,0.00143%,Chloe ,,,
Cho,Alpha,교촌 전,1,0.00143%,Cho ,,,
Cho,Alpha,교촌 전,1,0.00143%,Cho ,,,
Choi,Alpha,교촌 전,1,0.00143%,Choi ,,,
Choi,Alpha,교촌 전,1,0.00143%,Choi ,,,
Choi,Alpha,교촌 전,1,0.00143%,Choi ,,,
Chosunbiz,Alpha,교촌 전,1,0.00143%,Chosunbiz ,,,
Chul,Alpha,교촌 전,1,0.00143%,Chul ,,,
Chung,Alpha,교촌 전,1,0.00143%,Chung ,,,
City,Alpha,교촌 전,1,0.00143%,City ,,,
Classy,Alpha,교촌 전,1,0.00143%,Classy ,,,
Clay,Alpha,교촌 전,1,0.00143%,Clay ,,,
Clay,Alpha,교촌 전,1,0.00143%,Clay ,,,
Cleanup,Alpha,교촌 전,1,0.00143%,Cleanup ,,,
Combo,Alpha,교촌 전,2,0.00143%,Combo Combo ,,,
Comments,Alpha,교촌 전,1,0.00143%,Comments ,,,
Comments,Alpha,교촌 전,1,0.00143%,Comments ,,,
Comments,Alpha,교촌 전,1,0.00143%,Comments ,,,
Cook,Alpha,교촌 전,1,0.00143%,Cook ,,,
Cooking,Alpha,교촌 전,1,0.00143%,Cooking ,,,
Cooking,Alpha,교촌 전,2,0.00143%,Cooking Cooking ,,,
Cooking,Alpha,교촌 전,2,0.00143%,Cooking Cooking ,,,
Cuisine,Alpha,교촌 전,14,0.00143%,Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine ,,,
D,Alpha,교촌 전,1,0.00143%,D ,,,
D,Alpha,교촌 전,1,0.00143%,D ,,,
DH,Alpha,교촌 전,1,0.00143%,DH ,,,
DJ,Alpha,교촌 전,1,0.00143%,DJ ,,,
DJ,Alpha,교촌 전,1,0.00143%,DJ ,,,
DJ,Alpha,교촌 전,1,0.00143%,DJ ,,,
DMC,Alpha,교촌 전,1,0.00143%,DMC ,,,
DOCTOR,Alpha,교촌 전,1,0.00143%,DOCTOR ,,,
DODO,Alpha,교촌 전,1,0.00143%,DODO ,,,
DONGDONG,Alpha,교촌 전,1,0.00143%,DONGDONG ,,,
DUKE,Alpha,교촌 전,1,0.00143%,DUKE ,,,
DULOLL,Alpha,교촌 전,1,0.00143%,DULOLL ,,,
DY,Alpha,교촌 전,1,0.00143%,DY ,,,
Dad,Alpha,교촌 전,1,0.00143%,Dad ,,,
Dae,Alpha,교촌 전,1,0.00143%,Dae ,,,
Dagam,Alpha,교촌 전,1,0.00143%,Dagam ,,,
Dance,Alpha,교촌 전,1,0.00143%,Dance ,,,
David,Alpha,교촌 전,1,0.00143%,David ,,,
David,Alpha,교촌 전,1,0.00143%,David ,,,
Day,Alpha,교촌 전,1,0.00143%,Day ,,,
Day,Alpha,교촌 전,1,0.00143%,Day ,,,
Dc,Alpha,교촌 전,2,0.00143%,Dc Dc ,,,
