,comment
10,노랑통닭 먹어보고싶당
11,에효
12,저렴하고 먹기편해서 국민야식 치킨 그런대 2만원대라?? 아니 2만원주고 치킨시켜먹을바에  차라리 다른메뉴를 선택하지 ㅋㅋㅋ 이양반들 똥인지 된장인지 구분이 안가네 보네 치킨의 저렴한 가격을 벗어나면  당연히 매출이줄고 판매량또한 떨어지는걸 모르나? 당장나부터 1주일에 1~2먹을거  차라리 다른메뉴선택한다
13,와씨 몇년째 bbq 만 믿고 먹었었는데 너무 실망스럽네요 이번 기회로 딴곳으로 갈아타야겠어요 화난다
14,다같이 호 치킨이나 팝시닼ㅋㅋㅋ
15,교촌이랑 비비큐는 양심진짜 ㅋㅋ
16,"싸나이답게 조사받지는?
힘들다면서요~~~~~~~"
17,먹지말아야지...
18,그래도 조사해!!!!!!!!!!!
19,치맥의 수호신 김상조!!
20,와....이래서 자한당 이*들과 조중동한 그래고 두 신문사가 있는데 까먹음ㅠ이런*들이  김상조 공정거래위원장님을 어떻게든 낙선시키려고 용을 썼구나 못된것들..어둠은 빛을 이길 수 없다...김상조 위원장님 화이팅입니다~♡
21,우리동네 bbq치킨 양적음 게다가 비싸게
22,조사 계속 해주세요....뿌리가 뭔지 저쪽 프랜차이즈 업계에 무슨 일이 있는지 알아야합니다
23,BBQ  불매운동 합시다.
24,통큰이가 그립다
25,ㅂㅅ 비비큐 결국 안받던 배달비 붙여서 20000으로 올렷지 ㅋㅋㅋ
26,걍 bbq안사먹어야지
27,비비큐맛있나? 비싸서 않먹는게 아니고 다른ㄱㅔ더 맛남
28,너거같이 사람을 돈으로보고 쫓아가다 탈난다 내하나가 무슨 영향을 미치겟냐만은 절대안먹는다 정직하고 합리적인 가게들 많다 맛보다도 먹을때 뿌듯할거같다 잘가라
29,담합이 분명
30,처갓집이 짱이다
31,쪼랏네
32,프렌차이즈 업체가 가장 못된놈들이 많습니다~~
33,와 인성이???
34,거기거 이제는절대 안사먹는다~
35,철회해도 조사 필요하다 이건
36,감히 치킨을가지고 장난을쳐?!?!??!!!!!!!!  생각좀하고살아!!!!
37,"통큰치킨 다시 부활시키라,,,어차피 배달도 안되는거 직접가서 사먹는 사람 몇사람 된다고
자본주의 사회에서 그딴걸 금지 시키나??"
38,"ㅎㅎㅎ 괜찮아 가격 내려도 안 먹을거야

집 앞 옛날 통닭 집이 싸고 더 맛있엉 ㅎㅎㅎㅎ"
39,원래 비비큐 안먹었지만 주변에도 먹지말라고 말려야겠내
40,가맹주들은....어찌하나...기업이야 돈많지 가맹주들은....
41,"어떻게 치킨 한마리가 
삼계탕 두그릇보다 비싸냐 
괘씸하다 단합한놈들"
42,"돈도 돈이지만 예전보다 맛이떨어지는 느낌..
양도적어지고.. 동네에서 한번 시켜먹고 이건 아니다 싶어 비비큐 이용안하는중.."
43,응 안 먹어. 정말 깨끗하게 삽시다.
44,참내 손해 ㅋㅋ 안먹는다 ㅅㅂ
45,bbq솔직히 자메이카랑 후라이드 말고는안먹음
46,니들은 이미 망했다 이번일로 그 치졸한 속내가 다ㅈ드러남. 절대 안먹어
47,안올린가격도 사기?
48,쓰레기
49,"치킨 은 우리 가정 에서
시켜 먹기 편해서 시켜  
먹는데 이런것 들을 악용 
해서 값올 올리면 않대지"
50,"양심은 닭모이로 줬나벼?
가격인상 죽어도해야겠다고 버티더니 공정위가 나서니 꼬리내리고 한달전인상한품목도 종전가격으로 돌리고 겁나 구린게있나봄. BBQ치킨 먹지도않지만 앞으로 니내껀 더더욱 먹을일없다. 이참에 조사한거 확실히해서 치킨값 착한가격으로 잡아주시길^^"
51,아.. 그냥 늬들 치킨은 가격을 원상복구 햇다고 쳐도 안먹을 란다..
52,더 내려야함 아니면 양계 농장에 더 수익이 돌아가게 허던가..
53,"가격올라도 그냥 아무생각 없이 먹었는데,
이놈들이 장난치고있었구만... 치킨 안먹으면 그만이지
요즘 배달되는 다양한 음식 많고, 길거리에 각국음식들이 널렸는데 
쌀 같은 필수 품목도 아니고 안먹으면 그만이다 ㅋㅋ"
54,난 bbq안먹는다.  조사한다고하니까 꼬리내리냐
55,BBQ 이제 안먹으련다
56,닭값가지고 장난치지마라. 시장에 맞겨라. 비싸면 안먹으면 되고 그러면 자연히 가격조정이 된다. 공정위가 시장물가를 정하는 곳이냐? 표플리즘정책 그만좀 해라. 이런걸 보고 있자니 앞으로는 모든 가격을 정부가 통제하려고 하는것 같다
57,
