,comment
0,"SKIP NAVIGATION
SIGN IN
YTN news is live now!
공정위 조사에 'BBQ 치킨값 인상' 없던 일로... / YTN
13,286 views•Jun 16, 2017
44
7
SHARE
SAVE
YTN news
2.08M subscribers
SUBSCRIBE
[앵커]
지난달부터 두 차례 값을 올렸던 BBQ치킨이 가격 인상 계획을 전격 철회했습니다.

공정거래위원회의 조사가 시작되자 백기를 든 건데요.

경쟁 업체들도 잇따라 가격 인상 계획을 접거나 오히려 값을 내리기로 했습니다.

이하린 기자가 보도합니다.

[기자]
공정거래위원회 김상조 위원장이 취임 뒤 첫 행보로 치킨 프랜차이즈 BBQ에 칼을 빼 들었습니다.

BBQ가 광고비를 늘리는 과정에서 가맹점과 분담하기로 협의한 것이 가맹사업법을 위반하지 않았는지 조사하겠다는 겁니다.

사실상 지난달부터 두 차례 값을 올린 과정을 들여다 보겠다는 뜻입니다.

공정위의 조사가 본격화되자, BBQ는 가격을 원래대로 낮추겠다며 백기를 들었습니다.

경쟁 업체들도 인상계획을 취소하거나 값을 오히려 인하겠다고 밝혔습니다.

이달 말 인상을 예고했던 교촌치킨은 인상계획을 철회한다고 밝혔고 BHC치킨은 인기 메뉴의 가격을 한 달 동안 1,000원에서 1,500원까지 할인하기로 했습니다.

[김동한 / BHC치킨 홍보팀장 : 최근 물가 및 인건비, 임대료 상승 등으로 인해서 가격 인상이 불가피했지만, AI 발생으로 인해 어려움을 겪고 있는 양계 농가와 가맹점과의 상생을 위해….]

이처럼 치킨값 인상에 제동이 걸린 건 정부뿐만 아니라 여론의 압박도 거세졌기 때문입니다.

또봉이 치킨 등 중소 업체들은 값을 올릴 이유가 없다며 오히려 할인에 나섰고, 양계협회는 부당하게 가격을 올리는 프랜차이즈에 대해 불매운동까지 선언했습니다.

[이홍재 / 대한 양계협회 회장 : 양계협회에서는 이번 치킨 가격 인상한 업체들 가격 조사해서 높다고 판단되는 부분에 대해서는 덜 먹기 운동, 불매 운동까지 고려하고 있습니다.]

결국, 치킨 업계의 가격 인상은 '없던 일'이 됐지만, 그동안 비용 절감 노력 없이 소비자에게 부담을 떠넘기려 했다는 비난은 여전할 것으로 보입니다.

YTN 이하린입니다.

▶ 기사 원문 : 
SHOW MORE
Up next
AUTOPLAY
40:06
민족의 뿌리, 상고사를 말하다: 고조선과 고인돌 / YTN 사이언스
YTN 사이언스
1.1M views
6 years ago
14:43
★Pepper and garlic chicken★ Unbelievable! Paik's Beer business secret is revealed!
백종원의 요리비책 Paik's Cuisine
1.9M views
10 months ago
26:37
[한반도 화산은 살아있다] 4부. 화산이 만든 비경, 제주도 / YTN 사이언스
YTN 사이언스
223K views
3 years ago
14:46
The recipe for snow crab ramyun on 'SBS Delicious Rendezvous' is here! ㅣ Paik's Cooking Log
백종원의 요리비책 Paik's Cuisine
1.3M views
10 months ago
[YTN LIVE] 대한민국 24시간 뉴스채널 YTN
YTN news
3.9K watching
LIVE NOW
43:30
[1박2일 시즌1 99회-2][홍천] 이들에게 중간은 없음... 일단 시작하면 끝을 봐야 하는 거여!! #복불복 #입수
KBS Entertain: 깔깔티비
1M views
9 months ago
59:15
[생로병사의 비밀] 삼겹살 리포트 (2012.2.11. 401회)
KBS 생로병사의 비밀
3.4M views
1 year ago
12:25
Kimchi fried rice made with leftover ingredients at home!
백종원의 요리비책 Paik's Cuisine
2.4M views
7 months ago
12:44
Cold Outside, Hot Inside Goguma Mattang
백종원의 요리비책 Paik's Cuisine
1.6M views
5 months ago
11:22
Chicken Thigh and Green Onions! Go Ahead and Dip It in The Sauce
백종원의 요리비책 Paik's Cuisine
899K views
8 months ago
27:05
[로드다큐 두 번째 명함 180313] 치킨 하나로 연매출 6억 원!
한국직업방송
218K views
2 years ago
10:29
Thai-style spinach and meat deopbap! Invite your friends!
백종원의 요리비책 Paik's Cuisine
523K views
7 months ago
22:26
Very rich, noodles in anchovy broth! Broth, sauce, garnish, and a secret bonus menu!
백종원의 요리비책 Paik's Cuisine
4.4M views
10 months ago
15:51
Meat dumpling! Here's the recipe. Make them with your family! ㅣ Paik's Cooking Log
백종원의 요리비책 Paik's Cuisine
1.2M views
10 months ago
11:05
Stir-fried sausages in ketchup, this is perfect
백종원의 요리비책 Paik's Cuisine
1.5M views
6 months ago
12:58
Korean Fried Chicken, Fried and Seasoned! Seasoned fried chicken originates from Korea!
백종원의 요리비책 Paik's Cuisine
1.6M views
11 months ago
46:55
[TV특강] 성공을 부르는 인맥 왕의 인간관계 비법 박희영 원장
안동MBC PLUS
332K views
10 months ago
12:49
Baked egg with curry?!
백종원의 요리비책 Paik's Cuisine
1.4M views
8 months ago
16:31
Enjoy crispy chicken steak with a special sauce with your family! ㅣ Paik Jong Won's Cookinglog
백종원의 요리비책 Paik's Cuisine
2.5M views
1 year ago
8:21
Chicken Deopbap that is served at Restaurants! You'll be surprised
백종원의 요리비책 Paik's Cuisine
691K views
4 months ago
SHOW MORE
80 Comments
SORT BY
Add a public comment...
양갱이
3 years ago
상생 같은 소리하네 진짜.. 
드러워서 안먹는다 

다른 값싼 치킨 먹지
57
REPLY
iso 77
3 years ago
공정거래위원의조사계획대단히감사합니다,치킨한마리이만원이라니,돌았나봐~^^넘해~^^
19
REPLY
사랑해너를
3 years ago
아니 중견기업 이상은 정기적으로 검사 떄려요...
1년 수입 얼마 이상이라든가 기준 잡아서
그런새끼들 잡는데 세금쓰는건 좋으니까
31
REPLY
iso 77
3 years ago
공정거래위원의조사계획대단히감사합니다,치킨한마리이만원이라니,돌았나봐~^^넘해~^^
9
REPLY
Mr.빡
3 years ago
왜 무슨 일만 터지면 인상은 다같이 해대면서 인하는 절대안해
7
REPLY
흑채
3 years ago
교촌은진짜미친거아니냐솔직히교촌은닭도작고양도개조그맣고무슨ㅡㅡ치킨값올리면사람이냐?
24
REPLY
View 2 replies
Siri스푼
3 years ago
응 안먹어
8
REPLY
정배고프다
3 years ago
노랑통닭 먹어보고싶당
4
REPLY
이광
3 years ago
에효
1
REPLY
붉은황소
3 years ago
저렴하고 먹기편해서 국민야식 치킨 그런대 2만원대라?? 아니 2만원주고 치킨시켜먹을바에  차라리 다른메뉴를 선택하지 ㅋㅋㅋ 이양반들 똥인지 된장인지 구분이 안가네 보네 치킨의 저렴한 가격을 벗어나면  당연히 매출이줄고 판매량또한 떨어지는걸 모르나? 당장나부터 1주일에 1~2먹을거  차라리 다른메뉴선택한다
4
REPLY
최보경
3 years ago
와씨 몇년째 bbq 만 믿고 먹었었는데 너무 실망스럽네요 이번 기회로 딴곳으로 갈아타야겠어요 화난다
1
REPLY
Signal Zero
3 years ago
다같이 호 치킨이나 팝시닼ㅋㅋㅋ
REPLY
Ell
3 years ago
교촌이랑 비비큐는 양심진짜 ㅋㅋ
6
REPLY
View 3 replies
이유미
3 years ago
싸나이답게 조사받지는?
힘들다면서요~~~~~~~
REPLY
Pan Magi
3 years ago
먹지말아야지...
1
REPLY
김민성
3 years ago
그래도 조사해!!!!!!!!!!!
REPLY
mad mad
3 years ago
치맥의 수호신 김상조!!
REPLY
안형순
3 years ago
와....이래서 자한당 이*들과 조중동한 그래고 두 신문사가 있는데 까먹음ㅠ이런*들이  김상조 공정거래위원장님을 어떻게든 낙선시키려고 용을 썼구나 못된것들..어둠은 빛을 이길 수 없다...김상조 위원장님 화이팅입니다~♡
1
REPLY
소피루비
3 years ago
우리동네 bbq치킨 양적음 게다가 비싸게
REPLY
JH HEO
3 years ago
조사 계속 해주세요....뿌리가 뭔지 저쪽 프랜차이즈 업계에 무슨 일이 있는지 알아야합니다
REPLY
KOR베르퍼스
3 years ago
BBQ  불매운동 합시다.
REPLY
검은사자
9 months ago
통큰이가 그립다
REPLY
123 45
10 months ago
ㅂㅅ 비비큐 결국 안받던 배달비 붙여서 20000으로 올렷지 ㅋㅋㅋ
REPLY
서동준
3 years ago
걍 bbq안사먹어야지
REPLY
하하하
3 years ago
비비큐맛있나? 비싸서 않먹는게 아니고 다른ㄱㅔ더 맛남
REPLY
그레이옥히드
3 years ago
너거같이 사람을 돈으로보고 쫓아가다 탈난다 내하나가 무슨 영향을 미치겟냐만은 절대안먹는다 정직하고 합리적인 가게들 많다 맛보다도 먹을때 뿌듯할거같다 잘가라
1
REPLY
김바울
3 years ago
담합이 분명
REPLY
이민혁
3 years ago
처갓집이 짱이다
REPLY
코닉TV
2 years ago
쪼랏네
REPLY
미큐엘
3 years ago
프렌차이즈 업체가 가장 못된놈들이 많습니다~~
REPLY
닉네임
2 years ago
와 인성이???
REPLY
게멍멍
3 years ago
거기거 이제는절대 안사먹는다~
REPLY
anelia pon rsh pon
3 years ago
철회해도 조사 필요하다 이건
REPLY
김민성
3 years ago
감히 치킨을가지고 장난을쳐?!?!??!!!!!!!!  생각좀하고살아!!!!
REPLY
조용
3 years ago
통큰치킨 다시 부활시키라,,,어차피 배달도 안되는거 직접가서 사먹는 사람 몇사람 된다고
자본주의 사회에서 그딴걸 금지 시키나??
REPLY
Lunatic Bruno
3 years ago
ㅎㅎㅎ 괜찮아 가격 내려도 안 먹을거야

집 앞 옛날 통닭 집이 싸고 더 맛있엉 ㅎㅎㅎㅎ
Read more
1
REPLY
도도오빠
3 years ago
원래 비비큐 안먹었지만 주변에도 먹지말라고 말려야겠내
REPLY
TOE ROG
3 years ago
가맹주들은....어찌하나...기업이야 돈많지 가맹주들은....
REPLY
Lucky days
3 years ago
어떻게 치킨 한마리가 
삼계탕 두그릇보다 비싸냐 
괘씸하다 단합한놈들
REPLY
악인은지옥으로
3 years ago
돈도 돈이지만 예전보다 맛이떨어지는 느낌..
양도적어지고.. 동네에서 한번 시켜먹고 이건 아니다 싶어 비비큐 이용안하는중..
REPLY
망고빙수
3 years ago
응 안 먹어. 정말 깨끗하게 삽시다.
REPLY
여문수
3 years ago
참내 손해 ㅋㅋ 안먹는다 ㅅㅂ
REPLY
김우지
3 years ago
bbq솔직히 자메이카랑 후라이드 말고는안먹음
REPLY
areum yu
3 years ago
니들은 이미 망했다 이번일로 그 치졸한 속내가 다ㅈ드러남. 절대 안먹어
REPLY
mgs3 mi
3 years ago
안올린가격도 사기?
REPLY
오창우
3 years ago
쓰레기
1
REPLY
김선경
3 years ago
치킨 은 우리 가정 에서
시켜 먹기 편해서 시켜  
먹는데 이런것 들을 악용 
해서 값올 올리면 않대지
Read more
REPLY
강현성
3 years ago
양심은 닭모이로 줬나벼?
가격인상 죽어도해야겠다고 버티더니 공정위가 나서니 꼬리내리고 한달전인상한품목도 종전가격으로 돌리고 겁나 구린게있나봄. BBQ치킨 먹지도않지만 앞으로 니내껀 더더욱 먹을일없다. 이참에 조사한거 확실히해서 치킨값 착한가격으로 잡아주시길^^
REPLY
알터
3 years ago
아.. 그냥 늬들 치킨은 가격을 원상복구 햇다고 쳐도 안먹을 란다..
1
REPLY
수현
3 years ago
더 내려야함 아니면 양계 농장에 더 수익이 돌아가게 허던가..
REPLY
Orbit
3 years ago
가격올라도 그냥 아무생각 없이 먹었는데,
이놈들이 장난치고있었구만... 치킨 안먹으면 그만이지
요즘 배달되는 다양한 음식 많고, 길거리에 각국음식들이 널렸는데 
쌀 같은 필수 품목도 아니고 안먹으면 그만이다 ㅋㅋ
Read more
REPLY
샹남아
3 years ago
난 bbq안먹는다.  조사한다고하니까 꼬리내리냐
REPLY
ICAR0Sky
3 years ago
BBQ 이제 안먹으련다
1
REPLY
zip꿀벌
3 years ago
닭값가지고 장난치지마라. 시장에 맞겨라. 비싸면 안먹으면 되고 그러면 자연히 가격조정이 된다. 공정위가 시장물가를 정하는 곳이냐? 표플리즘정책 그만좀 해라. 이런걸 보고 있자니 앞으로는 모든 가격을 정부가 통제하려고 하는것 같다
REPLY
View reply"
1,
2,"[앵커]
지난달부터 두 차례 값을 올렸던 BBQ치킨이 가격 인상 계획을 전격 철회했습니다.

공정거래위원회의 조사가 시작되자 백기를 든 건데요.

경쟁 업체들도 잇따라 가격 인상 계획을 접거나 오히려 값을 내리기로 했습니다.

이하린 기자가 보도합니다.

[기자]
공정거래위원회 김상조 위원장이 취임 뒤 첫 행보로 치킨 프랜차이즈 BBQ에 칼을 빼 들었습니다.

BBQ가 광고비를 늘리는 과정에서 가맹점과 분담하기로 협의한 것이 가맹사업법을 위반하지 않았는지 조사하겠다는 겁니다.

사실상 지난달부터 두 차례 값을 올린 과정을 들여다 보겠다는 뜻입니다.

공정위의 조사가 본격화되자, BBQ는 가격을 원래대로 낮추겠다며 백기를 들었습니다.

경쟁 업체들도 인상계획을 취소하거나 값을 오히려 인하겠다고 밝혔습니다.

이달 말 인상을 예고했던 교촌치킨은 인상계획을 철회한다고 밝혔고 BHC치킨은 인기 메뉴의 가격을 한 달 동안 1,000원에서 1,500원까지 할인하기로 했습니다.

[김동한 / BHC치킨 홍보팀장 : 최근 물가 및 인건비, 임대료 상승 등으로 인해서 가격 인상이 불가피했지만, AI 발생으로 인해 어려움을 겪고 있는 양계 농가와 가맹점과의 상생을 위해….]

이처럼 치킨값 인상에 제동이 걸린 건 정부뿐만 아니라 여론의 압박도 거세졌기 때문입니다.

또봉이 치킨 등 중소 업체들은 값을 올릴 이유가 없다며 오히려 할인에 나섰고, 양계협회는 부당하게 가격을 올리는 프랜차이즈에 대해 불매운동까지 선언했습니다.

[이홍재 / 대한 양계협회 회장 : 양계협회에서는 이번 치킨 가격 인상한 업체들 가격 조사해서 높다고 판단되는 부분에 대해서는 덜 먹기 운동, 불매 운동까지 고려하고 있습니다.]

결국, 치킨 업계의 가격 인상은 '없던 일'이 됐지만, 그동안 비용 절감 노력 없이 소비자에게 부담을 떠넘기려 했다는 비난은 여전할 것으로 보입니다.

YTN 이하린입니다.

▶ 기사 원문 : "
3,"상생 같은 소리하네 진짜.. 
드러워서 안먹는다 

다른 값싼 치킨 먹지"
4,"공정거래위원의조사계획대단히감사합니다,치킨한마리이만원이라니,돌았나봐~^^넘해~^^"
5,"아니 중견기업 이상은 정기적으로 검사 떄려요...
1년 수입 얼마 이상이라든가 기준 잡아서
그런새끼들 잡는데 세금쓰는건 좋으니까"
6,"공정거래위원의조사계획대단히감사합니다,치킨한마리이만원이라니,돌았나봐~^^넘해~^^"
7,왜 무슨 일만 터지면 인상은 다같이 해대면서 인하는 절대안해
8,교촌은진짜미친거아니냐솔직히교촌은닭도작고양도개조그맣고무슨ㅡㅡ치킨값올리면사람이냐?
9,응 안먹어
